datetime,uid
2014-02-01 00:00:00+01:00,1
2014-02-01 03:00:00+01:00,2
2014-02-01 06:00:00+01:00,17
2014-02-01 09:00:00+01:00,15
2014-02-01 12:00:00+01:00,13
2014-02-01 15:00:00+01:00,11
2014-02-01 18:00:00+01:00,13
2014-02-01 21:00:00+01:00,11
2014-02-02 00:00:00+01:00,5
2014-02-02 03:00:00+01:00,2
2014-02-02 06:00:00+01:00,13
2014-02-02 09:00:00+01:00,20
2014-02-02 12:00:00+01:00,14
2014-02-02 15:00:00+01:00,19
2014-02-02 18:00:00+01:00,15
2014-02-02 21:00:00+01:00,15
2014-02-03 00:00:00+01:00,3
2014-02-03 03:00:00+01:00,3
2014-02-03 06:00:00+01:00,26
2014-02-03 09:00:00+01:00,45
2014-02-03 12:00:00+01:00,20
2014-02-03 15:00:00+01:00,23
2014-02-03 18:00:00+01:00,26
2014-02-03 21:00:00+01:00,16
2014-02-04 00:00:00+01:00,1
2014-02-04 03:00:00+01:00,3
2014-02-04 06:00:00+01:00,13
2014-02-04 09:00:00+01:00,40
2014-02-04 12:00:00+01:00,31
2014-02-04 15:00:00+01:00,35
2014-02-04 18:00:00+01:00,47
2014-02-04 21:00:00+01:00,19
2014-02-05 00:00:00+01:00,0
2014-02-05 03:00:00+01:00,2
2014-02-05 06:00:00+01:00,26
2014-02-05 09:00:00+01:00,21
2014-02-05 12:00:00+01:00,32
2014-02-05 15:00:00+01:00,30
2014-02-05 18:00:00+01:00,38
2014-02-05 21:00:00+01:00,8
2014-02-06 00:00:00+01:00,1
2014-02-06 03:00:00+01:00,3
2014-02-06 06:00:00+01:00,22
2014-02-06 09:00:00+01:00,32
2014-02-06 12:00:00+01:00,36
2014-02-06 15:00:00+01:00,34
2014-02-06 18:00:00+01:00,30
2014-02-06 21:00:00+01:00,16
2014-02-07 00:00:00+01:00,3
2014-02-07 03:00:00+01:00,2
2014-02-07 06:00:00+01:00,21
2014-02-07 09:00:00+01:00,39
2014-02-07 12:00:00+01:00,22
2014-02-07 15:00:00+01:00,29
2014-02-07 18:00:00+01:00,39
2014-02-07 21:00:00+01:00,14
2014-02-08 00:00:00+01:00,4
2014-02-08 03:00:00+01:00,0
2014-02-08 06:00:00+01:00,9
2014-02-08 09:00:00+01:00,18
2014-02-08 12:00:00+01:00,14
2014-02-08 15:00:00+01:00,14
2014-02-08 18:00:00+01:00,20
2014-02-08 21:00:00+01:00,15
2014-02-09 00:00:00+01:00,6
2014-02-09 03:00:00+01:00,3
2014-02-09 06:00:00+01:00,8
2014-02-09 09:00:00+01:00,18
2014-02-09 12:00:00+01:00,9
2014-02-09 15:00:00+01:00,12
2014-02-09 18:00:00+01:00,23
2014-02-09 21:00:00+01:00,28
2014-02-10 00:00:00+01:00,9
2014-02-10 03:00:00+01:00,7
2014-02-10 06:00:00+01:00,28
2014-02-10 09:00:00+01:00,30
2014-02-10 12:00:00+01:00,28
2014-02-10 15:00:00+01:00,24
2014-02-10 18:00:00+01:00,41
2014-02-10 21:00:00+01:00,13
2014-02-11 00:00:00+01:00,3
2014-02-11 03:00:00+01:00,2
2014-02-11 06:00:00+01:00,20
2014-02-11 09:00:00+01:00,24
2014-02-11 12:00:00+01:00,32
2014-02-11 15:00:00+01:00,28
2014-02-11 18:00:00+01:00,45
2014-02-11 21:00:00+01:00,14
2014-02-12 00:00:00+01:00,2
2014-02-12 03:00:00+01:00,3
2014-02-12 06:00:00+01:00,19
2014-02-12 09:00:00+01:00,34
2014-02-12 12:00:00+01:00,33
2014-02-12 15:00:00+01:00,35
2014-02-12 18:00:00+01:00,15
2014-02-12 21:00:00+01:00,7
2014-02-13 00:00:00+01:00,9
2014-02-13 03:00:00+01:00,3
2014-02-13 06:00:00+01:00,19
2014-02-13 09:00:00+01:00,29
2014-02-13 12:00:00+01:00,29
2014-02-13 15:00:00+01:00,23
2014-02-13 18:00:00+01:00,37
2014-02-13 21:00:00+01:00,13
2014-02-14 00:00:00+01:00,2
2014-02-14 03:00:00+01:00,2
2014-02-14 06:00:00+01:00,18
2014-02-14 09:00:00+01:00,54
2014-02-14 12:00:00+01:00,31
2014-02-14 15:00:00+01:00,33
2014-02-14 18:00:00+01:00,27
2014-02-14 21:00:00+01:00,7
2014-02-15 00:00:00+01:00,7
2014-02-15 03:00:00+01:00,4
2014-02-15 06:00:00+01:00,10
2014-02-15 09:00:00+01:00,12
2014-02-15 12:00:00+01:00,8
2014-02-15 15:00:00+01:00,12
2014-02-15 18:00:00+01:00,7
2014-02-15 21:00:00+01:00,13
2014-02-16 00:00:00+01:00,3
2014-02-16 03:00:00+01:00,7
2014-02-16 06:00:00+01:00,3
2014-02-16 09:00:00+01:00,12
2014-02-16 12:00:00+01:00,9
2014-02-16 15:00:00+01:00,16
2014-02-16 18:00:00+01:00,11
2014-02-16 21:00:00+01:00,19
2014-02-17 00:00:00+01:00,5
2014-02-17 03:00:00+01:00,1
2014-02-17 06:00:00+01:00,12
2014-02-17 09:00:00+01:00,37
2014-02-17 12:00:00+01:00,27
2014-02-17 15:00:00+01:00,22
2014-02-17 18:00:00+01:00,38
2014-02-17 21:00:00+01:00,27
2014-02-18 00:00:00+01:00,2
2014-02-18 03:00:00+01:00,0
2014-02-18 06:00:00+01:00,22
2014-02-18 09:00:00+01:00,51
2014-02-18 12:00:00+01:00,38
2014-02-18 15:00:00+01:00,30
2014-02-18 18:00:00+01:00,31
2014-02-18 21:00:00+01:00,24
2014-02-19 00:00:00+01:00,2
2014-02-19 03:00:00+01:00,0
2014-02-19 06:00:00+01:00,24
2014-02-19 09:00:00+01:00,21
2014-02-19 12:00:00+01:00,29
2014-02-19 15:00:00+01:00,25
2014-02-19 18:00:00+01:00,40
2014-02-19 21:00:00+01:00,14
2014-02-20 00:00:00+01:00,3
2014-02-20 03:00:00+01:00,1
2014-02-20 06:00:00+01:00,21
2014-02-20 09:00:00+01:00,36
2014-02-20 12:00:00+01:00,35
2014-02-20 15:00:00+01:00,33
2014-02-20 18:00:00+01:00,34
2014-02-20 21:00:00+01:00,17
2014-02-21 00:00:00+01:00,2
2014-02-21 03:00:00+01:00,1
2014-02-21 06:00:00+01:00,27
2014-02-21 09:00:00+01:00,34
2014-02-21 12:00:00+01:00,38
2014-02-21 15:00:00+01:00,27
2014-02-21 18:00:00+01:00,42
2014-02-21 21:00:00+01:00,21
2014-02-22 00:00:00+01:00,5
2014-02-22 03:00:00+01:00,3
2014-02-22 06:00:00+01:00,9
2014-02-22 09:00:00+01:00,13
2014-02-22 12:00:00+01:00,3
2014-02-22 15:00:00+01:00,11
2014-02-22 18:00:00+01:00,11
2014-02-22 21:00:00+01:00,7
2014-02-23 00:00:00+01:00,2
2014-02-23 03:00:00+01:00,3
2014-02-23 06:00:00+01:00,11
2014-02-23 09:00:00+01:00,12
2014-02-23 12:00:00+01:00,17
2014-02-23 15:00:00+01:00,11
2014-02-23 18:00:00+01:00,11
2014-02-23 21:00:00+01:00,20
2014-02-24 00:00:00+01:00,5
2014-02-24 03:00:00+01:00,6
2014-02-24 06:00:00+01:00,18
2014-02-24 09:00:00+01:00,47
2014-02-24 12:00:00+01:00,21
2014-02-24 15:00:00+01:00,28
2014-02-24 18:00:00+01:00,42
2014-02-24 21:00:00+01:00,19
2014-02-25 00:00:00+01:00,5
2014-02-25 03:00:00+01:00,4
2014-02-25 06:00:00+01:00,21
2014-02-25 09:00:00+01:00,45
2014-02-25 12:00:00+01:00,34
2014-02-25 15:00:00+01:00,37
2014-02-25 18:00:00+01:00,29
2014-02-25 21:00:00+01:00,17
2014-02-26 00:00:00+01:00,4
2014-02-26 03:00:00+01:00,4
2014-02-26 06:00:00+01:00,15
2014-02-26 09:00:00+01:00,24
2014-02-26 12:00:00+01:00,33
2014-02-26 15:00:00+01:00,35
2014-02-26 18:00:00+01:00,34
2014-02-26 21:00:00+01:00,19
2014-02-27 00:00:00+01:00,4
2014-02-27 03:00:00+01:00,6
2014-02-27 06:00:00+01:00,18
2014-02-27 09:00:00+01:00,27
2014-02-27 12:00:00+01:00,40
2014-02-27 15:00:00+01:00,21
2014-02-27 18:00:00+01:00,37
2014-02-27 21:00:00+01:00,9
2014-02-28 00:00:00+01:00,6
2014-02-28 03:00:00+01:00,5
2014-02-28 06:00:00+01:00,21
2014-02-28 09:00:00+01:00,34
2014-02-28 12:00:00+01:00,33
2014-02-28 15:00:00+01:00,25
2014-02-28 18:00:00+01:00,36
2014-02-28 21:00:00+01:00,10
2014-03-01 00:00:00+01:00,5
2014-03-01 03:00:00+01:00,6
2014-03-01 06:00:00+01:00,8
2014-03-01 09:00:00+01:00,10
2014-03-01 12:00:00+01:00,10
2014-03-01 15:00:00+01:00,10
2014-03-01 18:00:00+01:00,7
2014-03-01 21:00:00+01:00,14
2014-03-02 00:00:00+01:00,8
2014-03-02 03:00:00+01:00,3
2014-03-02 06:00:00+01:00,11
2014-03-02 09:00:00+01:00,8
2014-03-02 12:00:00+01:00,9
2014-03-02 15:00:00+01:00,22
2014-03-02 18:00:00+01:00,8
2014-03-02 21:00:00+01:00,19
